zone_idx,ring_idx,sector_idx,concentric_idx,point_count,pc_mean_x,pc_mean_y,pc_mean_z,singular_value_1,singular_value_2,singular_value_3,normal_x,normal_y,normal_z,d,linearity,planarity,sphericity,anisotropy,surface_variation,omnivariance,eigenentropy,uprightness,tilt_angle,pitch,roll,principal_direction_azimuth,ground_elevation,ground_flatness,line_variable,normal_consistency,multiscale_curvature,radial_height_diff,radial_laplacian,symmetric_diff_ratio,z_trim_mean,radial_trimmed_height_diff,radial_trimmed_gradient,parallel_gap_valid,parallel_plane_gap_mu,parallel_plane_gap_median,shared_normal_x,shared_normal_y,shared_normal_z,shared_normal_angle_to_current,shared_normal_angle_to_inner,ransac_gap_pretrim_valid,ransac_gap_pretrim_mu,ransac_gap_pretrim_median,ransac_shared_normal_pretrim_x,ransac_shared_normal_pretrim_y,ransac_shared_normal_pretrim_z,ransac_shared_angle_to_current_pretrim,ransac_shared_angle_to_inner_pretrim,ransac_inlier_ratio_A_pretrim,ransac_inlier_ratio_B_pretrim,ransac_gap_raw_valid,ransac_gap_raw_mu,ransac_gap_raw_median,ransac_shared_normal_raw_x,ransac_shared_normal_raw_y,ransac_shared_normal_raw_z,ransac_shared_angle_to_current_raw,ransac_shared_angle_to_inner_raw,ransac_inlier_ratio_A_raw,ransac_inlier_ratio_B_raw
0,0,3,0,12,0.126383,0.500592,-0.227076,0.00334985,0.000801425,7.13151e-05,-0.266679,-0.0402741,0.962944,0.272526,0.760758,0.217953,0.021289,0.978711,0.0168889,0.000576355,0.568007,0.962944,0.273084,0.27017,-0.0417996,1.27127,-0.227076,7.13151e-05,4.17987,0.700543,0,nan,nan,nan,-0.22651,nan,nan,0,nan,nan,0,0,1,nan,nan,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
0,1,5,1,219,-0.676245,0.703528,-0.472252,nan,nan,nan,0,0,1,0.472252,0,0,0,0,0,0,0,1,0,-0,0,0,-0.472252,nan,nan,0.466485,0.0208831,nan,nan,nan,-0.0144501,nan,nan,0,nan,nan,0,0,1,nan,nan,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
0,2,3,2,132,0.416551,1.4807,-0.738169,0.0998065,0.0192086,0.00273992,-0.131146,0.201505,0.970668,0.472779,0.807542,0.165006,0.0274523,0.972548,0.0225035,0.0173832,0.539661,0.970668,0.242802,0.134296,0.204686,0.550017,-0.738169,0.00273992,5.19593,0.445025,0.0397979,-0.416221,5.41994,1,-0.0140713,0.455565,0.670901,1,0.214978,0.217082,-0.845995,0.525442,0.0905751,0.336475,1.13674,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
0,2,5,2,1155,-0.523455,1.23137,-0.792054,nan,nan,nan,0,0,1,0.792054,0,0,0,0,0,0,0,1,0,-0,0,0,-0.792054,nan,nan,0.306776,0.0104491,-1.94871,7.44099,1,1.0068,1.02125,2.39186,1,0.0326562,0.0382093,0.989672,0.0881354,0.113057,0.0465986,0.726992,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,0,1,4,156,1.92752,1.82908,1.85258,nan,nan,nan,0,0,1,-1.85258,0,0,0,0,0,0,0,1,0,-0,0,0,1.85258,nan,nan,0.0488152,0.00655027,0.231102,-7.48243,-1,0.00480757,-1.65292,-2.95541,1,0.235026,0.152311,0.984134,0.161873,0.0726411,0.0640428,2.34177,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,0,2,4,24,2.02787,2.08991,2.41424,nan,nan,nan,0,0,1,-2.41424,0,0,0,0,0,0,0,1,0,-0,0,0,2.41424,nan,nan,0.0354555,0.0125995,1.06673,-5.91968,-1,1.41194,-0.289913,-0.355767,1,0.702126,0.691519,0.228702,0.973203,0.0238877,0.0509555,3.09386,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,1,2,5,186,1.91703,2.87561,-1.65397,0.122479,0.0437708,0.00206342,-0.0527475,-0.276982,0.959426,2.48447,0.642627,0.340526,0.0168471,0.983153,0.0122594,0.0222815,0.635538,0.959426,0.285836,0.0549228,-0.281054,-0.456246,-1.65397,0.00206342,2.7982,0.186919,0.044552,-3.79553,9.67861,1,-0.383379,-1.79531,-2.76994,1,0.495834,0.485402,-0.861483,-0.507386,0.0201573,0.0747563,2.38304,0,nan,nan,0,0,1,nan,nan,0,0,1,2.6597,2.60504,-0.185168,-0.161656,0.969319,0.209161,0.124797,0.208333,0.123656
1,1,3,5,108,0.465222,3.38532,-1.71467,0.0993742,0.0326012,0.000414579,-0.091607,-0.00449935,0.995785,1.76529,0.671935,0.323893,0.0041719,0.995828,0.0031315,0.0110333,0.578476,0.995785,0.0918454,0.0917365,-0.00451836,-0.0952198,-1.71467,0.000414579,3.04818,0.0439409,0.0392969,-4.61545,9.09953,1,0.640267,-1.41138,-2.30512,1,0.567573,0.600604,0.246017,0.969119,0.0168504,3.04735,0.108488,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,1,4,5,319,-0.422819,3.38384,-1.78303,0.0485548,0.0344409,0.000739082,-0.0761326,-0.00875236,0.997059,1.77521,0.290679,0.694099,0.0152216,0.984778,0.00882647,0.0107316,0.723164,0.997059,0.0767085,0.0762093,-0.00877795,0.350647,-1.78303,0.000739082,1.4098,0.027575,0.058465,-3.92235,8.47419,1,1.10446,-0.488268,-0.81788,1,0.62876,0.624497,-0.21686,0.975704,0.0311878,0.0575091,0.0180237,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,2,6,189,1.89499,3.66563,-1.58484,0.0585318,0.0395422,0.00133599,-0.0747578,-0.0175047,0.997048,1.78599,0.324432,0.652743,0.022825,0.977175,0.0134392,0.0145686,0.736487,0.997048,0.0768554,0.0748391,-0.0175547,2.31383,-1.58484,0.00133599,1.48024,0.0424807,0.0375894,-1.19972,4.57891,1,-0.200031,0.183347,0.247531,1,0.214819,0.189209,0.953433,0.301538,0.00638311,0.206062,2.97713,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,3,6,537,0.60995,3.98096,-1.69035,0.180037,0.0310392,0.000328691,-0.0893598,-0.0102299,0.995947,1.77873,0.827596,0.170578,0.00182568,0.998174,0.00155479,0.0122467,0.428519,0.995947,0.0900651,0.0894839,-0.0102711,-0.137255,-1.69035,0.000328691,5.80033,0.0361579,0.0904494,-3.34648,15.6539,1,1.08931,0.449045,0.462748,1,0.684068,0.690357,-0.485383,-0.874238,0.0105578,0.0491154,0.349399,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,4,6,1088,-0.444395,4.02759,-1.76863,0.0519774,0.0328517,0.000947272,-0.0888891,-0.0196376,0.995848,1.80088,0.367961,0.613815,0.0182247,0.981775,0.0110435,0.0117386,0.720883,0.995848,0.0911578,0.0890238,-0.0197169,0.585643,-1.76863,0.000947272,1.58218,0.0292682,0.0833703,-3.2048,14.1605,1,1.14007,0.0356086,0.0276272,1,0.55535,0.584213,0.485116,-0.874382,0.0108495,0.0360687,2.90546,0,nan,nan,0,0,1,nan,nan,0,0,1,0.735667,0.711024,0.0169232,0.0817269,0.996511,0.328763,0.136014,0.275862,0.119485
1,3,2,7,188,2.10242,4.1465,-1.51456,0.0566888,0.0258448,0.0013131,-0.307946,-0.0467931,0.950252,2.28068,0.544093,0.432744,0.0231633,0.976837,0.0156607,0.0124372,0.692491,0.950252,0.316751,0.313389,-0.049203,2.02758,-1.51456,0.0013131,2.19343,0.168241,0.0329433,-1.85391,nan,nan,0.0148316,0.214863,0.272243,1,0.0259042,0.0277672,0.990933,0.104694,0.0842053,0.00944926,0.0103868,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,3,3,7,1560,1.0721,4.39481,-1.60563,0.283764,0.00955357,0.00175251,-0.0672431,-0.186012,0.980244,2.46349,0.966333,0.0274914,0.00617595,0.993824,0.0059393,0.016811,0.179083,0.980244,0.199106,0.068491,-0.187531,-0.027002,-1.60563,0.00175251,29.7024,0.140853,0.0337852,-2.95198,nan,nan,0.749395,-0.339917,-0.771434,1,0.133179,0.0959107,0.025371,-0.99966,0.00597687,3.09152,0.580541,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
